-10 0
0.00000E+0	0.000000
6.84564E-1	15.48583
2.05369E+0	23.22874
3.08054E+0	35.61741
4.10738E+0	48.52227
6.50336E+0	62.45951
8.89933E+0	76.91296
1.19799E+1	90.33401
1.54027E+1	103.23887
1.91678E+1	116.65992
2.36174E+1	130.08098
2.77248E+1	142.46964
3.18322E+1	153.82591
3.69664E+1	166.21457
4.14161E+1	176.53847
4.62081E+1	187.37854
5.06577E+1	195.63765
5.57919E+1	206.99393
6.26376E+1	218.35020
6.84564E+1	229.70648
7.42752E+1	237.96559
8.04362E+1	246.22470
8.89933E+1	255.00000
9.75503E+1	255.00000
1.07819E+2	255.00000
1.17745E+2	255.00000
1.27329E+2	255.00000
1.35886E+2	255.00000
1.45470E+2	255.00000
1.55738E+2	255.00000
1.64980E+2	255.00000
1.75248E+2	255.00000
1.84490E+2	255.00000
1.90651E+2	255.00000
1.96470E+2	255.00000
2.00919E+2	250.35425
2.05027E+2	243.12753
2.09134E+2	233.31984
2.12215E+2	223.51215
2.16664E+2	213.18826
2.21114E+2	199.25101
2.24879E+2	185.82996
2.28987E+2	171.37651
2.32752E+2	157.43927
2.36174E+2	144.01822
2.38913E+2	129.56477
2.41651E+2	115.62753
2.44389E+2	101.69028
2.46443E+2	87.75304
2.48497E+2	73.29960
2.49866E+2	58.84615
2.51577E+2	44.90891
2.52946E+2	29.42308
2.53289E+2	15.48583
2.55000E+2	0.000000
265 0
